               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022074,           0.0043731,           0.0023646,             0.99654,             0.99213,             0.99424,             0.75798,            0.019181,           0.0029568,           0.0010197,            0.009443,            0.009443,            0.009443
                  36,            0.022207,           0.0043043,           0.0022123,             0.99874,             0.99876,             0.99481,             0.76762,            0.018983,           0.0029154,          0.00083569,           0.0094106,           0.0094106,           0.0094106
                  37,             0.02183,           0.0042121,           0.0023188,             0.99826,             0.99903,             0.99483,             0.76556,            0.018738,           0.0028852,          0.00075657,           0.0093773,           0.0093773,           0.0093773
                  38,            0.021684,           0.0043208,           0.0021462,              0.9981,             0.99902,             0.99482,             0.77335,            0.018981,           0.0029378,           0.0006909,           0.0093432,           0.0093432,           0.0093432
                  39,            0.021841,            0.004334,           0.0022505,             0.99655,             0.99764,             0.99478,             0.76589,            0.018795,           0.0029177,          0.00072708,           0.0093083,           0.0093083,           0.0093083
                  40,            0.021776,           0.0043757,           0.0021652,             0.99805,             0.99767,             0.99477,             0.77003,            0.019011,           0.0029033,          0.00079582,           0.0092726,           0.0092726,           0.0092726
                  41,            0.021789,           0.0042374,            0.002149,             0.99843,             0.99894,             0.99493,             0.76577,            0.019085,           0.0029035,          0.00069528,           0.0092361,           0.0092361,           0.0092361
                  42,            0.021453,           0.0042499,            0.002334,             0.99687,             0.99947,             0.99481,             0.76809,            0.019488,           0.0029444,           0.0007199,           0.0091987,           0.0091987,           0.0091987
                  43,            0.021529,             0.00424,           0.0021838,             0.99888,             0.99786,              0.9949,             0.77531,             0.01886,           0.0029106,            0.000713,           0.0091606,           0.0091606,           0.0091606
                  44,            0.021581,           0.0042443,           0.0021198,             0.99895,             0.99947,             0.99496,             0.77444,            0.018611,           0.0028606,          0.00066434,           0.0091217,           0.0091217,           0.0091217
                  45,             0.02131,           0.0042523,           0.0019576,             0.99821,              0.9993,             0.99466,             0.78098,            0.018544,           0.0028612,          0.00060803,           0.0090821,           0.0090821,           0.0090821
                  46,             0.02111,           0.0042635,           0.0019399,             0.99883,             0.99947,             0.99469,             0.76985,            0.018686,           0.0028733,          0.00063416,           0.0090416,           0.0090416,           0.0090416
                  47,            0.020957,           0.0041969,            0.001763,             0.99858,             0.99947,             0.99491,             0.77777,            0.018422,           0.0028712,          0.00063314,           0.0090004,           0.0090004,           0.0090004
                  48,            0.021023,           0.0041008,           0.0019136,             0.99883,             0.99946,             0.99478,             0.77624,            0.018285,           0.0028436,          0.00062414,           0.0089585,           0.0089585,           0.0089585
                  49,            0.020794,           0.0041197,           0.0018106,             0.99876,             0.99876,             0.99483,             0.77841,            0.018131,           0.0028175,          0.00068155,           0.0089159,           0.0089159,           0.0089159
                  50,            0.020935,           0.0042282,           0.0017263,             0.99877,             0.99902,             0.99493,              0.7838,            0.017912,           0.0027988,          0.00058929,           0.0088725,           0.0088725,           0.0088725
                  51,            0.020761,            0.004131,           0.0017503,             0.99864,             0.99947,             0.99469,             0.77817,            0.018049,           0.0028111,          0.00059605,           0.0088284,           0.0088284,           0.0088284
                  52,            0.020694,           0.0040861,           0.0016084,              0.9986,             0.99916,             0.99489,             0.77093,            0.018886,           0.0029027,          0.00060805,           0.0087837,           0.0087837,           0.0087837
                  53,            0.020927,           0.0041883,            0.001768,             0.99868,             0.99947,              0.9946,             0.78386,            0.018105,           0.0027992,          0.00058492,           0.0087382,           0.0087382,           0.0087382
                  54,            0.020739,           0.0040626,           0.0016616,             0.99847,             0.99947,             0.99477,             0.78341,            0.018325,           0.0028021,          0.00062565,           0.0086921,           0.0086921,           0.0086921
                  55,            0.020536,           0.0041057,           0.0019507,             0.99882,             0.99947,             0.99488,             0.78427,            0.018077,            0.002822,          0.00058098,           0.0086452,           0.0086452,           0.0086452
                  56,            0.020592,           0.0041209,           0.0019203,              0.9986,             0.99947,             0.99491,             0.78308,            0.017879,           0.0027687,          0.00054522,           0.0085978,           0.0085978,           0.0085978
                  57,            0.020412,           0.0041382,           0.0016337,             0.99894,             0.99902,             0.99472,              0.7814,            0.017904,           0.0027966,          0.00057737,           0.0085497,           0.0085497,           0.0085497
                  58,            0.020558,           0.0041422,           0.0017437,             0.99891,             0.99873,             0.99493,             0.78027,            0.018113,           0.0027774,          0.00053717,            0.008501,            0.008501,            0.008501
                  59,            0.020195,           0.0040734,           0.0018367,             0.99875,             0.99905,             0.99481,             0.78091,            0.017978,           0.0027864,          0.00057576,           0.0084516,           0.0084516,           0.0084516
                  60,             0.02049,           0.0040984,           0.0018465,             0.99884,             0.99947,             0.99468,             0.77967,            0.018065,           0.0028106,          0.00049661,           0.0084017,           0.0084017,           0.0084017
                  61,            0.020466,           0.0040954,           0.0016192,             0.99868,             0.99947,             0.99494,             0.78363,            0.017766,           0.0027661,          0.00050526,           0.0083511,           0.0083511,           0.0083511
                  62,            0.020182,           0.0041132,           0.0017809,             0.99849,             0.99811,              0.9949,             0.77656,            0.017963,           0.0027631,          0.00054018,              0.0083,              0.0083,              0.0083
                  63,            0.020256,           0.0040995,           0.0017632,             0.99787,             0.99947,             0.99496,             0.78011,            0.017772,           0.0027606,          0.00053529,           0.0082483,           0.0082483,           0.0082483
                  64,            0.020013,           0.0040041,           0.0014744,             0.99898,             0.99869,             0.99473,             0.78591,            0.017731,           0.0027419,          0.00048407,           0.0081961,           0.0081961,           0.0081961
                  65,            0.020103,           0.0040356,           0.0015907,             0.99859,             0.99947,             0.99481,             0.78762,            0.017604,            0.002759,          0.00049013,           0.0081433,           0.0081433,           0.0081433
                  66,            0.020194,           0.0040156,           0.0017332,             0.99846,             0.99947,             0.99487,             0.78399,            0.017693,           0.0027588,          0.00051418,             0.00809,             0.00809,             0.00809
                  67,            0.020022,           0.0040974,            0.001613,             0.99881,             0.99947,             0.99474,             0.78441,            0.017829,           0.0027542,          0.00051565,           0.0080362,           0.0080362,           0.0080362
                  68,            0.019794,           0.0040638,           0.0015787,             0.99879,             0.99904,             0.99493,             0.78479,             0.01771,           0.0027548,          0.00052921,           0.0079818,           0.0079818,           0.0079818
                  69,            0.020005,           0.0040116,           0.0015691,             0.99866,             0.99902,             0.99489,             0.78316,            0.017794,           0.0027481,          0.00047005,            0.007927,            0.007927,            0.007927
                  70,            0.019953,           0.0040302,           0.0018155,             0.99904,             0.99938,              0.9947,             0.78857,            0.017766,           0.0027606,          0.00048903,           0.0078717,           0.0078717,           0.0078717
                  71,            0.020192,           0.0040424,           0.0017868,             0.99868,             0.99947,             0.99465,             0.78614,            0.017887,           0.0027634,          0.00049697,            0.007816,            0.007816,            0.007816
                  72,            0.020094,           0.0041121,           0.0017338,              0.9984,             0.99947,              0.9948,             0.78307,            0.017615,           0.0027545,           0.0005326,           0.0077598,           0.0077598,           0.0077598
                  73,            0.019929,           0.0040956,           0.0016502,              0.9988,             0.99912,             0.99468,              0.7852,            0.017587,           0.0027539,          0.00049389,           0.0077031,           0.0077031,           0.0077031
                  74,            0.019858,           0.0039658,           0.0015594,             0.99911,             0.99943,             0.99473,             0.78949,            0.017595,           0.0027365,          0.00049514,           0.0076461,           0.0076461,           0.0076461
                  75,            0.019784,           0.0040456,           0.0016148,             0.99882,             0.99947,             0.99495,             0.78538,            0.017571,           0.0027469,          0.00048515,           0.0075886,           0.0075886,           0.0075886
                  76,            0.019907,           0.0040471,           0.0015998,             0.99821,             0.99947,             0.99479,             0.78641,            0.017562,           0.0027202,          0.00049071,           0.0075307,           0.0075307,           0.0075307
                  77,            0.019655,           0.0039659,           0.0015316,             0.99905,             0.99947,             0.99486,             0.78471,            0.017581,           0.0027241,          0.00048076,           0.0074725,           0.0074725,           0.0074725
                  78,            0.019443,           0.0041077,            0.001525,             0.99883,             0.99947,             0.99491,             0.78852,            0.017485,           0.0027271,          0.00046925,           0.0074139,           0.0074139,           0.0074139
                  79,            0.019579,           0.0041112,           0.0015348,              0.9989,             0.99947,             0.99482,             0.78786,            0.017483,           0.0027259,          0.00044664,            0.007355,            0.007355,            0.007355
                  80,            0.019698,           0.0040605,           0.0017651,             0.99894,             0.99914,             0.99483,             0.78629,            0.017446,           0.0027223,          0.00045942,           0.0072957,           0.0072957,           0.0072957
                  81,             0.01965,           0.0039903,           0.0016022,             0.99856,             0.99947,             0.99494,             0.79038,            0.017333,           0.0027347,           0.0004262,           0.0072361,           0.0072361,           0.0072361
                  82,             0.01973,           0.0039294,            0.001609,             0.99857,             0.99947,              0.9947,             0.79299,            0.017479,           0.0027308,          0.00045269,           0.0071762,           0.0071762,           0.0071762
                  83,            0.019605,           0.0039764,           0.0015866,             0.99904,             0.99947,             0.99469,             0.79081,            0.017431,           0.0027307,          0.00045003,            0.007116,            0.007116,            0.007116
                  84,            0.019639,           0.0040291,           0.0015231,             0.99893,             0.99947,              0.9949,             0.79491,            0.017437,           0.0027111,          0.00046596,           0.0070555,           0.0070555,           0.0070555
                  85,            0.019349,           0.0040218,           0.0015609,             0.99892,             0.99947,             0.99488,             0.79516,             0.01734,           0.0026927,          0.00045999,           0.0069948,           0.0069948,           0.0069948
                  86,            0.019313,           0.0039771,           0.0014582,             0.99895,             0.99947,              0.9949,             0.79122,            0.017375,            0.002715,          0.00044197,           0.0069338,           0.0069338,           0.0069338
                  87,            0.019079,            0.003984,            0.001581,             0.99894,             0.99947,             0.99489,             0.79026,            0.017354,           0.0026955,           0.0004473,           0.0068726,           0.0068726,           0.0068726
                  88,            0.019044,           0.0039912,           0.0014061,               0.999,             0.99947,             0.99486,             0.79087,            0.017302,           0.0026867,          0.00041707,           0.0068111,           0.0068111,           0.0068111
                  89,            0.019062,           0.0038943,           0.0013846,             0.99905,             0.99947,             0.99491,             0.79184,            0.017234,            0.002693,          0.00040509,           0.0067495,           0.0067495,           0.0067495
                  90,            0.019045,           0.0039652,            0.001372,             0.99904,             0.99947,             0.99496,             0.79364,            0.017163,            0.002681,          0.00041049,           0.0066877,           0.0066877,           0.0066877
                  91,            0.019069,           0.0039587,           0.0012827,             0.99895,             0.99946,             0.99495,             0.79277,            0.017244,           0.0026715,          0.00043147,           0.0066257,           0.0066257,           0.0066257
                  92,            0.019142,           0.0039047,           0.0013861,             0.99867,             0.99947,             0.99481,             0.79149,            0.017327,           0.0026767,            0.000436,           0.0065636,           0.0065636,           0.0065636
                  93,            0.019153,           0.0039346,           0.0013102,             0.99891,             0.99947,             0.99483,              0.7891,            0.017331,           0.0026944,          0.00041743,           0.0065013,           0.0065013,           0.0065013
                  94,            0.018841,           0.0038367,           0.0012055,             0.99892,             0.99947,             0.99485,             0.79076,            0.017161,           0.0026842,          0.00042785,           0.0064389,           0.0064389,           0.0064389
                  95,            0.018603,           0.0039221,           0.0012702,             0.99885,             0.99947,             0.99494,             0.79381,            0.017179,           0.0026789,          0.00040131,           0.0063764,           0.0063764,           0.0063764
                  96,            0.019022,           0.0039215,           0.0014192,             0.99901,             0.99947,             0.99495,             0.79244,            0.017308,           0.0026807,          0.00042637,           0.0063138,           0.0063138,           0.0063138
                  97,            0.019029,           0.0039459,           0.0013668,             0.99862,             0.99947,             0.99495,             0.79196,            0.017294,           0.0026879,          0.00042824,           0.0062512,           0.0062512,           0.0062512
                  98,            0.018797,            0.003845,           0.0013859,              0.9988,             0.99947,             0.99494,             0.79308,            0.017202,           0.0026807,          0.00042458,           0.0061884,           0.0061884,           0.0061884
                  99,            0.018835,           0.0038579,           0.0011685,             0.99883,             0.99947,             0.99493,             0.79464,            0.017138,           0.0026693,          0.00040534,           0.0061256,           0.0061256,           0.0061256
                 100,            0.018579,           0.0038793,           0.0012773,             0.99886,             0.99947,             0.99488,             0.79208,            0.017117,           0.0026614,          0.00040069,           0.0060628,           0.0060628,           0.0060628
                 101,            0.018513,            0.003899,           0.0012457,              0.9989,             0.99947,             0.99481,             0.79323,            0.017111,           0.0026643,           0.0003953,               0.006,               0.006,               0.006
                 102,            0.018609,           0.0038412,           0.0012801,              0.9988,             0.99947,             0.99487,             0.79296,              0.0171,           0.0026689,          0.00040026,           0.0059372,           0.0059372,           0.0059372
